skill,day,start_hour,end_hour,number_of_workers,cost_per_worker
skill10,Monday,09:00,12:00,3,135
skill2,Monday,08:00,20:00,3,53
skill6,Monday,07:00,14:00,2,125
skill3,Monday,06:00,17:00,3,70
skill8,Monday,10:00,14:00,3,65
skill4,Monday,08:00,13:00,2,112
skill2,Monday,08:00,12:00,2,146
skill7,Monday,09:00,19:00,1,57
skill4,Monday,11:00,14:00,2,113
skill10,Monday,08:00,20:00,1,58
skill2,Monday,11:00,16:00,3,64
skill9,Monday,11:00,13:00,1,132
skill9,Monday,06:00,18:00,2,113
skill6,Monday,09:00,14:00,1,135
skill10,Monday,09:00,20:00,2,133
skill9,Monday,07:00,19:00,3,51
skill3,Monday,09:00,15:00,2,144
skill1,Monday,09:00,16:00,1,82
skill9,Monday,11:00,14:00,1,69
skill6,Monday,07:00,20:00,2,147
skill7,Monday,08:00,16:00,1,93
skill5,Monday,06:00,18:00,3,116
skill5,Monday,09:00,15:00,1,61
skill3,Monday,08:00,15:00,2,131
skill5,Monday,07:00,15:00,3,63
skill7,Monday,07:00,17:00,1,58
skill1,Monday,06:00,12:00,1,138
skill5,Monday,06:00,12:00,3,70
skill4,Monday,07:00,13:00,1,138
skill4,Monday,10:00,18:00,1,126
skill8,Monday,08:00,14:00,3,50
skill8,Monday,10:00,18:00,2,96
skill8,Monday,11:00,13:00,1,137
skill6,Monday,06:00,20:00,3,106
skill5,Monday,11:00,15:00,3,108
skill10,Monday,08:00,19:00,2,116
skill2,Monday,06:00,20:00,2,90
skill2,Monday,10:00,19:00,3,88
skill8,Monday,06:00,19:00,3,145
skill1,Monday,07:00,14:00,3,126
skill6,Monday,10:00,17:00,3,75
skill6,Monday,08:00,15:00,3,64
skill1,Monday,06:00,19:00,1,121
skill8,Monday,08:00,18:00,1,74
skill7,Monday,08:00,17:00,2,123
skill3,Monday,08:00,15:00,1,109
skill1,Monday,11:00,18:00,2,122
skill2,Monday,10:00,19:00,3,86
skill5,Monday,07:00,13:00,2,99
skill1,Monday,10:00,18:00,2,133
skill1,Monday,07:00,16:00,1,128
skill5,Monday,06:00,14:00,2,150
skill7,Monday,06:00,14:00,3,126
skill7,Monday,07:00,20:00,3,100
skill1,Monday,09:00,12:00,3,82
skill10,Monday,10:00,16:00,3,50
skill6,Monday,07:00,12:00,2,121
skill4,Monday,09:00,18:00,2,139
skill2,Monday,11:00,15:00,3,53
skill3,Monday,07:00,13:00,1,99
skill3,Monday,08:00,12:00,2,142
skill7,Monday,10:00,17:00,3,136
skill2,Monday,11:00,14:00,3,81
skill1,Monday,07:00,13:00,2,97
skill1,Monday,11:00,15:00,2,68
skill1,Monday,08:00,15:00,1,122
skill6,Monday,11:00,13:00,2,78
skill6,Monday,06:00,18:00,1,73
skill8,Monday,09:00,12:00,2,135
skill6,Monday,09:00,19:00,2,70
